INFO buildroot.py:488:  Mock Version: 2.9
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/dev/pts
DEBUG file_util.py:20:  creating dir: /var/lib/mock/fedora-rawhide-x86_64-debug/root/dev/pts
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/dev/shm
DEBUG file_util.py:20:  creating dir: /var/lib/mock/fedora-rawhide-x86_64-debug/root/dev/shm
DEBUG buildroot.py:672:  kernel version == 5.11.7-200.fc33.x86_64
DEBUG file_util.py:30:  touching file: /var/lib/mock/fedora-rawhide-x86_64-debug/root/etc/fstab
DEBUG file_util.py:30:  touching file: /var/lib/mock/fedora-rawhide-x86_64-debug/root/etc/yum/yum.conf
DEBUG file_util.py:30:  touching file: /var/lib/mock/fedora-rawhide-x86_64-debug/root/etc/dnf/dnf.conf
DEBUG file_util.py:30:  touching file: /var/lib/mock/fedora-rawhide-x86_64-debug/root/var/log/yum.log
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/var/cache/yum
DEBUG util.py:624:  child environment: None
DEBUG util.py:542:  Executing command: ['/bin/mount', '-n', '--bind', '/var/cache/mock/fedora-rawhide-x86_64-debug/yum_cache', '/var/lib/mock/fedora-rawhide-x86_64-debug/root/var/cache/yum'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:598:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/var/cache/dnf
DEBUG util.py:624:  child environment: None
DEBUG util.py:542:  Executing command: ['/bin/mount', '-n', '--bind', '/var/cache/mock/fedora-rawhide-x86_64-debug/dnf_cache', '/var/lib/mock/fedora-rawhide-x86_64-debug/root/var/cache/dnf'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:598:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/proc
DEBUG file_util.py:30:  touching file: /var/lib/mock/fedora-rawhide-x86_64-debug/root/proc/filesystems
DEBUG util.py:624:  child environment: None
DEBUG util.py:542:  Executing command: ['/bin/mount', '-n', '--bind', '/tmp/mock-selinux-plugin.diphzome', '/var/lib/mock/fedora-rawhide-x86_64-debug/root/proc/filesystems'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:598:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug-bootstrap/root/var/lib/mock/fedora-rawhide-x86_64-debug/root
DEBUG util.py:624:  child environment: None
DEBUG util.py:542:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', '-o', 'private', 'tmpfs', '/var/lib/mock/fedora-rawhide-x86_64-debug-bootstrap/root/var/lib/mock/fedora-rawhide-x86_64-debug/root'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:598:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug-bootstrap/root/var/lib/mock/fedora-rawhide-x86_64-debug/root
DEBUG util.py:624:  child environment: None
DEBUG util.py:542:  Executing command: ['/bin/mount', '-n', '--rbind', '-o', 'private', '/var/lib/mock/fedora-rawhide-x86_64-debug/root', '/var/lib/mock/fedora-rawhide-x86_64-debug-bootstrap/root/var/lib/mock/fedora-rawhide-x86_64-debug/root'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:598:  Child return code was: 0
DEBUG buildroot.py:195:  rootdir = /var/lib/mock/fedora-rawhide-x86_64-debug/root
DEBUG buildroot.py:196:  resultdir = /var/lib/mock/fedora-rawhide-x86_64-debug/result
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/etc/pki/mock
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/etc/dnf
DEBUG package_manager.py:570:  configure DNF vars
DEBUG util.py:624:  child environment: None
